,Date,SOURCEURL,AvgTone,N_label,Label
798,2017-12-18,https://www.booking.com/hotel/ie/farringtons-of-temple-bar.en-gb.html,3.9877300613497,0.0,Business_Ethics
800,2018-01-05,https://www.dailysabah.com/tourism/2018/01/05/bookingcom-likely-to-resume-operations-in-turkey,-1.36363636363637,12.0,Management_Of_Legal_And_Regulatory_Framework
801,2018-01-09,https://www.booking.com/hotel/us/best-western-mccarran-inn.en-gb.html,2.9154518950437303,0.0,Business_Ethics
802,2018-01-14,https://www.theguardian.com/money/2018/jan/14/booking-com-cancel-refund,-1.11940298507463,12.0,Management_Of_Legal_And_Regulatory_Framework
803,2018-01-15,http://www.huffingtonpost.ca/bookingcom/6-ways-to-embrace-the-blue-in-blue-monday_a_23330905/,1.24777183600713,3.0,Business_Model_Resilience
804,2018-01-23,http://www.huffingtonpost.ca/bookingcom/find-your-fitlife-in-2018-with-these-adventurous-trip-ideas_a_23335144/,3.8938053097345096,9.0,Employee_Health_And_Safety
806,2018-02-02,http://www.travelmarketreport.com/articles/How-Will-Hoteliers-Respond-Following-Marriotts-Cut-to-Group-Booking-Commissions,-1.02986611740473,4.0,Competitive_Behavior
807,2018-02-06,http://www.vir.com.vn/agoda-and-bookingcom-in-crosshairs-of-customers-and-authorities-56174.html,-3.5112359550561805,22.0,Customer_Privacy
808,2018-02-07,http://english.vietnamnet.vn/fms/business/195405/agoda-and-booking-com-in-crosshairs-of-customers-and-authorities.html,-3.10391363022942,22.0,Customer_Privacy
809,2018-02-21,https://www.dailysabah.com/tourism/2018/02/22/bookingcom-may-resume-operations-in-turkey-1519238771,-0.5905511811023599,4.0,Competitive_Behavior
810,2018-02-23,https://www.booking.com/hotel/gb/premier-by-eurotraveller.en-gb.html,1.19047619047619,0.0,Business_Ethics
811,2018-02-23,https://www.booking.com/hotel/us/embassy-suites-los-angeles-international-airport-north.en-gb.html,2.82131661442006,0.0,Business_Ethics
812,2018-02-24,https://www.booking.com/hotel/us/red-roof-inn-las-vegas.en-gb.html,1.70316301703163,0.0,Business_Ethics
813,2018-02-24,https://www.booking.com/hotel/us/huntley-santa-monica-beach.en-gb.html,3.3039647577092497,0.0,Business_Ethics
814,2018-02-24,https://www.booking.com/hotel/ie/conrad-dublin.en-gb.html,3.09278350515463,0.0,Business_Ethics
815,2018-02-25,https://www.booking.com/hotel/us/los-angeles-airport-marriott.en-gb.html,1.2658227848101202,0.0,Business_Ethics
816,2018-02-25,https://www.booking.com/hotel/us/palomar-los-angeles-westwood-a-kimpton.en-gb.html,1.23456790123457,0.0,Business_Ethics
817,2018-02-27,https://www.booking.com/hotel/gb/every-hotel-piccadilly.en-gb.html,1.91082802547771,0.0,Business_Ethics
818,2018-02-27,https://www.booking.com/hotel/ie/beresford-hotel.en-gb.html,3.2846715328467204,0.0,Business_Ethics
819,2018-02-27,https://www.booking.com/hotel/gb/victoriaparkplazahotel.en-gb.html,4.17754569190601,0.0,Business_Ethics
820,2018-02-28,https://www.thehour.com/business/article/Booking-com-nears-3B-in-private-accommodations-13652770.php,2.29489758397682,8.0,Employee_Engagement_Inclusion_And_Diversity
821,2018-03-08,https://www.booking.com/hotel/fr/marquis-faubourg-saint-honora-c.en-gb.html,4.18994413407821,0.0,Business_Ethics
823,2018-03-13,http://www.afr.com/real-estate/commercial/hotels-and-leisure/choice-hotels-boss-says-hotels-in-a-tech-battle-with-bookingcom-and-expedia-20180219-h0wciz,-0.10822510822511,4.0,Competitive_Behavior
824,2018-03-13,https://www.cnet.com/uk/news/airbnb-goes-to-battle-against-online-travel-agents-expedia-booking-com/,-1.08695652173913,4.0,Competitive_Behavior
825,2018-03-20,https://www.booking.com/hotel/bh/swiss-belhotel-seef-bahrain-manama.en-gb.html,3.0092592592592595,0.0,Business_Ethics
826,2018-03-23,http://www.eglobaltravelmedia.com.au/booking-com-champions-travel-stories-from-three-incredible-partners-as-winners-of-bookinghero-competition/,7.255936675461741,3.0,Business_Model_Resilience
827,2018-03-26,http://www.spamfighter.com/News-21459-Travel-Booking-Company-Orbitz-Encounters-Hack-into-Customers-Card-Details.htm,0.0645115470583599,1.0,Data_Security
828,2018-03-31,http://www.scmp.com/lifestyle/travel-leisure/article/2139428/tripadvisor-bookingcom-have-revolutionised-booking-holidays,-0.5273566249176,4.0,Competitive_Behavior
829,2018-04-03,https://www.booking.com/hotel/us/andaz-west-hollywood-los-angeles.en-gb.html,1.64319248826291,0.0,Business_Ethics
830,2018-04-10,https://venturebeat.com/2018/04/10/booking-com-boasts-more-listings-than-airbnb-and-its-ai-bot-is-rocking/,1.26682501979414,4.0,Competitive_Behavior
832,2018-04-13,http://www.business-standard.com/article/companies/booking-com-hires-flipkart-s-top-executive-ram-papatla-for-global-tech-role-118041300836_1.html,-1.20049754601249,3.0,Business_Model_Resilience
833,2018-04-17,https://www.bloomberg.com/news/articles/2018-04-17/-new-reality-as-morocco-takes-aim-at-airbnb-booking-com,-2.53164556962026,1.0,Data_Security
834,2018-04-18,https://www.traveldailynews.asia/bookingcom-where-sustainable-travel-is-headed-in-2018,3.55839416058394,15.0,Product_Design_And_Lifecycle_Management
836,2018-04-19,https://www.ttgasia.com/2018/04/19/interest-in-greener-stays-on-the-rise-booking-com/,-0.0744023867136467,15.0,Product_Design_And_Lifecycle_Management
837,2018-05-01,https://www.bloomberg.com/news/articles/2018-05-01/booking-com-ceo-sees-regulation-helping-not-harming-home-sharing,0.99469724996917,1.0,Data_Security
838,2018-05-02,https://finanza.repubblica.it/Bloomberg/2018/05/01/booking_com_ceo_sees_regulation_helping_not_harming_home_sharing-P80NL86KLVR501_BLE/,0.92165898617512,22.0,Customer_Privacy
839,2018-05-03,https://www.booking.com/hotel/ae/al-salam-hotel-suites-and-apartments.en-gb.html,2.16450216450216,0.0,Business_Ethics
842,2018-05-10,http://www.travelmarketreport.com/articles/IHG-Joins-Marriott-Hilton-in-Group-Booking-Commission-Cuts,-0.45385779122542,12.0,Management_Of_Legal_And_Regulatory_Framework
843,2018-05-11,https://www.dailymail.co.uk/money/experts/article-7018337/Booking-com-wont-pay-762-refund-TONY-HETHERINGTON-investigates.html,-1.54905335628227,12.0,Management_Of_Legal_And_Regulatory_Framework
844,2018-05-14,http://saudigazette.com.sa/article/534862/BUSINESS/flyadeal-partners-with-Bookingcom-to-offer-hotel-reservations-to-customers,3.7940379403794,11.0,Labor_Practices
845,2018-05-16,http://www.seychellesnewsagency.com/articles/9146/Business+boost+Air+Seychelles+partners+with+Booking.com,4.77636156831259,8.0,Employee_Engagement_Inclusion_And_Diversity
846,2018-05-23,https://themoscowtimes.com/news/russia-considers-ban-of-booking-com-over-us-sanctions-61544,-3.37663610591712,4.0,Competitive_Behavior
849,2018-05-26,http://vestnikkavkaza.net/news/Equivalent-of-Booking-com-may-be-created-in-North-Caucasus.html,0.89686098654708,12.0,Management_Of_Legal_And_Regulatory_Framework
854,2018-06-02,https://www.booking.com/hotel/ae/city-premiere-apartments.en-gb.html,1.9047619047619095,0.0,Business_Ethics
855,2018-06-03,http://erkansaka.net/2018/06/03/turkeyelections-for-taxi-driver-votes-turkish-government-seems-to-have-killed-another-global-business-uber-in-turkey-going-after-booking-com-paypal-and-not-for-profit-wikipedia/,-1.67597765363128,4.0,Competitive_Behavior
858,2018-06-07,https://www.traveldailynews.asia/bookingcom-malaysia-is-top-destination-for-tasting-local-fo,3.20754716981132,6.0,Customer_Welfare
859,2018-06-10,https://www.booking.com/city/us/orlando.en-gb.html,5.70570570570571,9.0,Employee_Health_And_Safety
860,2018-06-10,https://www.booking.com/hotel/us/hard-rock-at-universal-orlando.en-gb.html,2.36406619385342,0.0,Business_Ethics
861,2018-06-10,https://www.booking.com/hotel/us/morrison-clark-inn.en-gb.html,2.36486486486487,0.0,Business_Ethics
863,2018-06-10,https://www.booking.com/hotel/us/regal-oaks-a-clc-worldwide-resort.en-gb.html,3.76470588235294,0.0,Business_Ethics
864,2018-06-11,https://www.traveldailynews.com/post/bookingcom-reveals-that-going-local-is-the-essential-ingredient-for-an-unforgettable-foodie-adventure,3.6697247706422,12.0,Management_Of_Legal_And_Regulatory_Framework
866,2018-06-12,https://www.booking.com/hotel/us/staybrige-suites-orlando.en-gb.html,2.03562340966921,0.0,Business_Ethics
868,2018-06-13,http://www.traveldailymedia.com/hey-belgium-booking-com/,2.40963855421687,3.0,Business_Model_Resilience
870,2018-06-17,https://phys.org/news/2018-07-china-didi-teams-bookingcom-500mn.html,-5.466237942122179,4.0,Competitive_Behavior
871,2018-06-18,https://www.brisbanetimes.com.au/national/victoria/out-of-control-revellers-trash-1-million-booking-com-home-in-carnegie-20180618-p4zm4x.html,-2.5287356321839,5.0,Critical_Incident_Risk_Management
873,2018-06-18,https://www.thedailystar.net/business/didi-teams-bookingcom-500m-investment-1606942,-2.3622047244094504,4.0,Competitive_Behavior
874,2018-06-22,https://www.dutchnews.nl/news/2018/06/hotel-website-booking-com-moves-into-new-territory-expands-services/,2.66666666666666,4.0,Competitive_Behavior
875,2018-06-25,https://whnt.com/2018/06/24/alert-issued-on-digital-scrapbooking-company-offering-franchise-opportunities/,1.49253731343284,22.0,Customer_Privacy
876,2018-06-25,https://www.tnooz.com/article/booking-com-ota-similar-web/,1.55440414507772,3.0,Business_Model_Resilience
877,2018-06-29,https://www.booking.com/hotel/is/guesthouse-vellir.en-gb.html,1.15273775216138,0.0,Business_Ethics
878,2018-07-04,https://www.booking.com/hotel/us/fairfield-inn-suites-orlando-at-seaworld.en-gb.html,0.634493883435275,0.0,Business_Ethics
879,2018-07-12,https://www.mobihealthnews.com/content/medical-booking-company-doctolib-acquires-mondocteur,1.60427807486631,6.0,Customer_Welfare
880,2018-07-16,https://economics.unian.info/10189662-booking-com-bans-crimea-reservations.html,-1.76056338028169,12.0,Management_Of_Legal_And_Regulatory_Framework
881,2018-07-17,https://www.prnewswire.com/news-releases/bookingcom-and-matt-landau-team-up-to-produce-season-2-of-a-sense-of-place-300682105.html,5.60928433268859,15.0,Product_Design_And_Lifecycle_Management
882,2018-07-17,https://www.moneycontrol.com/news/business/chinas-didi-says-gets-500-million-investment-from-booking-com-parent-2723831.html,2.000200020002,22.0,Customer_Privacy
883,2018-07-17,https://www.zawya.com/mena/en/story/Chinas_Didi_gets_500mln_funding_from_Bookingcom_parent-ZAWYA20180717104227/,0.5586592178770899,3.0,Business_Model_Resilience
885,2018-07-17,https://www.reuters.com/article/didi-chuxing-booking-hldg-investment/chinas-didi-says-gets-500-mln-investment-from-booking-com-parent-idUSFWN1UD06L,2.2610152012070097,22.0,Customer_Privacy
886,2018-07-17,https://www.trybooking.com/book/event?eid=392115,1.8597279455648,22.0,Customer_Privacy
887,2018-07-24,https://www.afr.com/news/expedia-bookingcom-exempted-from-gst-rules-20180724-h1325r,0.4769475357710699,12.0,Management_Of_Legal_And_Regulatory_Framework
888,2018-07-28,https://www.sfchronicle.com/travel/article/Yosemite-area-hotels-suffer-blow-from-Booking-com-13111690.php,-3.25732899022802,5.0,Critical_Incident_Risk_Management
889,2018-07-31,http://www.propertyportalwatch.com/sweden-helps-hoteliers-bans-booking-com-from-imposing-parity-clauses/,-2.21518987341772,4.0,Competitive_Behavior
890,2018-07-31,https://www.broadwayworld.com/bwwfood-wine/article/Bookingcom-Cooks-Up-Taste-of-Travel-Experience-in-New-York-With-Celebrity-Chef-Marcus-Samuelsson-20180731,4.0332147093713,6.0,Customer_Welfare
891,2018-07-31,http://joodsactueel.be/2018/07/31/booking-com-amends-jerusalem-as-israeli-settlement-after-inquiry-from-joods-actueel/,-3.0172413793103496,10.0,Human_Rights_And_Community_Relations
892,2018-07-31,https://www.timesofisrael.com/booking-com-flagged-for-labeling-jerusalem-an-israeli-settlement/,-2.32558139534884,12.0,Management_Of_Legal_And_Regulatory_Framework
893,2018-07-31,https://spectator.sme.sk/c/20881663/slovakia-is-pushing-on-digital-platforms-including-booking-com-to-pay-taxes-here.html,-2.752293577981649,12.0,Management_Of_Legal_And_Regulatory_Framework
894,2018-08-01,https://www.haaretz.com/world-news/jerusalem-was-labeled-as-an-israeli-settlement-by-booking-com-1.6336762,-1.73010380622837,8.0,Employee_Engagement_Inclusion_And_Diversity
895,2018-08-01,https://www.jns.org/travel-site-booking-com-no-longer-refers-to-jerusalem-as-an-israeli-settlement/,-2.68456375838926,10.0,Human_Rights_And_Community_Relations
896,2018-08-01,https://www.algemeiner.com/2018/08/01/travel-site-booking-com-no-longer-refers-to-jerusalem-as-an-israeli-settlement/,-2.9477864663506,8.0,Employee_Engagement_Inclusion_And_Diversity
