N_label,AvgTone
2.0,68.48806595089415
21.0,59.810749149791
0.0,64.82461003517564
3.0,77.62530370034496
4.0,47.10974286062091
5.0,43.456835770947116
22.0,62.900880278005744
6.0,76.7062711361444
1.0,56.16101354504587
7.0,62.888394902776724
23.0,70.13322093074841
8.0,71.99064639815262
9.0,68.50242414917977
10.0,46.09309832561354
11.0,47.370458826143896
12.0,50.29754335714491
13.0,55.30672893228614
15.0,72.29780875936473
17.0,76.05072187380945
18.0,46.806107111890434
19.0,73.1210861332476
20.0,65.15769906344987
