,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
3379,684771531,20170828,BTN,BHUTANI,BTN,,BUS,COMPANY,,BUS,51,1.78954903364352,Germany,GM,Germany,GM,https://skift.com/2017/08/28/expedias-new-ceo-whos-who-in-executive-leadership/
3385,684774910,20170828,BUS,COMPANY,,BUS,,,,,111,-1.22800393145207,"Los Angeles, California, United States",US,,,http://www.newsfactor.com/news/Uber--Expedia-Head-Is-New-CEO/story.xhtml?story_id=130009OIS6LY
3389,684777371,20160828,BUS,COMPANY,,BUS,CVL,ENGINEER,,CVL,71,-1.62337662337663,Australia,AS,Australia,AS,https://www.businessinsider.com.au/uber-new-ceo-expedia-comes-with-180-million-price-tag-2017-8
3391,684779220,20170828,MNCUSA,HEWLETT PACKARD,USA,MNC,GOV,CHIEF EXECUTIVE,,GOV,190,-2.67558528428094,Iran,IR,Iran,IR,http://www.lbc.co.uk/news/business/uber-hires-expedia-boss-dara-khosrowshahi-as/
3393,684780696,20170828,CAN,CANADA,CAN,,LAB,EMPLOYEE,,LAB,40,-1.77514792899408,Canada,CA,Canada,CA,http://www.4-traders.com/EXPEDIA-INC-9605918/news/Expedia-confirms-CEO-Dara-Khosrowshahi-s-job-offer-from-Uber-25018202/
3394,684781200,20170828,GOV,CHIEF EXECUTIVE,,GOV,BUS,COMPANY,,BUS,51,-11.5461429641341,Iran,IR,Iran,IR,http://jalopnik.com/uber-picks-expedias-ceo-to-handle-all-of-its-problems-1798496475
3399,684783600,20170828,BUS,COMPANIES,,BUS,,,,,71,-0.13140604467806,"Denver, Colorado, United States",US,,,http://www.denverpost.com/2017/08/28/choice-expedia-ceo-lead-uber-isnt-odd/
3400,684783606,20170828,BUS,COMPANY,,BUS,,,,,120,-0.64102564102564,Iran,IR,,,http://www.hotelmanagement.net/operate/uber-chooses-expedia-ceo-dara-khosrowshahi-as-next-ceo-pick
3407,684786386,20170828,GOV,CHIEF EXECUTIVE,,GOV,MNCUSAGOV,HEWLETT PACKARD,USA,MNC,40,-3.1591737545565,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,http://www.stltoday.com/business/local/expedia-confirms-ceo-dara-khosrowshahi-s-job-offer-from-uber/article_651314a9-223b-5245-8e1a-edf1ede8eb63.html
3412,684792176,20170828,LAB,EMPLOYEE,,LAB,USA,UNITED STATES,USA,,40,-1.67855201900708,"New York, United States",US,"New York, United States",US,http://kdhnews.com/business/technology/expedia-confirms-ceo-dara-khosrowshahi-s-job-offer-from-uber/article_420524e9-dc77-5443-bbac-d8108032f3b3.html
3414,684794390,20170828,FRA,FRANCE,FRA,,LAB,EMPLOYEE,,LAB,20,0.0,France,FR,"New York, United States",US,http://en.rfi.fr/wire/20170828-uber-offers-chief-job-expedia-boss-filing
3417,684795096,20170828,MNCUSAGOV,EXPEDIA INC,USA,MNC,USAMED,REUTERS,USA,MED,20,-2.29885057471264,,,,,http://wardsauto.com/expedia-ceo-khosrowshahi-asked-lead-uber-memo
3418,684796490,20170828,BUS,BUSINESS,,BUS,IRN,IRAN,IRN,,51,0.26702269692924,China,CH,China,CH,http://www.nasdaq.com/article/uber-picks-dara-khosrowshahi-a-look-at-expedias-performance-under-its-ceo-cm838056
3419,684806363,20170828,USA,UNITED STATES,USA,,LAB,EMPLOYEE,,LAB,20,-0.714285714285714,"New York, United States",US,"New York, United States",US,http://punchng.com/uber-offers-chief-job-to-expedia-boss/
3420,684808838,20170828,BUSBUS,COMPANY,,BUS,USA,UNITED STATES,USA,,160,-0.11481056257176,"New York, United States",US,"New York, United States",US,http://mashable.com/2017/08/28/uber-new-ceo-dara-khosrowshahi-expedia-nice/
3422,684813507,20170828,BUS,COMPANIES,,BUS,USA,WASHINGTON,USA,,70,-1.84162218764706,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,http://www.business-standard.com/article/companies/uber-picks-expedia-s-chief-as-new-ceo-117082900040_1.html
3425,684827476,20170828,LAB,EMPLOYEE,,LAB,,,,,36,-2.03883495145631,"Nebraska, United States",US,,,https://www.1065thearch.com/2017/08/28/expedia-confirms-ceo-dara-khosrowshahis-job-offer-from-uber/
3427,684830089,20170829,,,,,LAB,EMPLOYEE,,LAB,36,-1.99568309684724,,,"New York, United States",US,http://www.beaumontenterprise.com/business/technology/article/Expedia-confirms-CEO-Dara-Khosrowshahi-s-job-12072044.php
3428,684830289,20170829,,,,,USA,UNITED STATES,USA,,46,-1.38539042821158,,,"Idaho, United States",US,http://www.pressdemocrat.com/business/7354534-181/expedia-confirms-ceo-dara-khosrowshahis
3445,684839890,20170829,USA,DETROIT,USA,,BUS,COMPANY,,BUS,51,0.583441869428482,,,,,http://www.postandcourier.com/business/expedia-confirms-khosrowshahi-s-job-offer-from-uber/article_33d69b8c-8c3a-11e7-b48f-b7bac9388bfc.html
3446,684843712,20170829,BUS,BUSINESS,,BUS,,,,,40,0.75240358547169,China,CH,,,https://www.cnbc.com/2017/08/28/ubers-new-ceo-expedia-boss-dara-khosrowshahis-powerful-network.html
3450,684849673,20170829,BUS,INDUSTRY,,BUS,,,,,51,0.41465100207325,"New York, United States",US,,,https://www.geekwire.com/2017/meet-ubers-choice-ceo-expedia-chief-brings-internal-calm-experience-big-personalities/
3459,684858601,20170829,BUS,COMPANY,,BUS,GOV,CHIEF EXECUTIVE,,GOV,42,-2.82485875706215,"New York, United States",US,"New York, United States",US,http://www.techtimes.com/articles/212968/20170828/the-new-ceo-of-uber-is-expedia-chief-dara-khosrowshahi-and-he-has-a-tough-job-ahead-amid-company-scandals.htm
3460,684858607,20170829,BUS,INVESTOR,,BUS,LAB,EMPLOYEE,,LAB,50,-3.71885253170169,,,,,https://www.thenews.com.pk/print/226617-Uber-picks-Expedias-Dara-Khosrowshahi-as-new-CEO
3465,684860010,20170829,MNCUSAMED,GOOGLE,USA,MNC,,,,,71,-0.88495575221239,"New York, United States",US,,,https://www.dealstreetasia.com/stories/uber-ceo-khosrowshahi-200m-exit-expedia-81188/
