N_label,AvgTone
2.0,76.68318955003109
21.0,35.196216574740184
0.0,34.17779799521112
3.0,65.56109584623621
4.0,55.7398398757206
5.0,34.44909821086358
22.0,56.9472558760655
6.0,71.21136886395946
1.0,46.243702771719455
7.0,42.4110531796047
23.0,58.61806469068408
8.0,57.27812397798445
9.0,55.582113637997125
10.0,49.67660453006768
11.0,49.89339202939658
12.0,55.15959874981892
13.0,62.295081967213136
15.0,71.62824046958534
16.0,28.783592644978857
17.0,64.15594306998555
18.0,52.472888694513564
19.0,61.98903291497567
20.0,74.13591352648963
