Date,AvgTone
2015-01-31,56.3989392395079
2015-02-28,53.97933996162274
2015-03-31,52.63420333846537
2015-04-30,52.30327621725196
2015-05-31,51.64274729970219
2015-06-30,50.695232260256056
2015-07-31,51.018400701296926
2015-08-31,50.570246547899366
2015-09-30,51.20140550085431
2015-10-31,51.27014606602214
2015-11-30,51.19789062979953
2015-12-31,50.55583106840841
2016-01-31,50.16315359815786
2016-02-29,49.99224101350638
2016-03-31,49.91742355806684
2016-04-30,50.10335987712179
2016-05-31,49.822260118424815
2016-06-30,49.542103300826604
2016-07-31,49.37083734424139
2016-08-31,49.3929315450652
2016-09-30,49.69749516177711
2016-10-31,49.62452004439364
2016-11-30,49.831085768188146
2016-12-31,50.126043820748535
2017-01-31,49.924955002936805
2017-02-28,50.26942379531578
2017-03-31,50.52302482061833
2017-04-30,50.83765999526607
2017-05-31,51.54392375274301
2017-06-30,51.610769502162654
2017-07-31,51.20677175646057
2017-08-31,50.78308991281108
2017-09-30,50.92647102248208
2017-10-31,50.633089512242904
2017-11-30,50.60447234702964
2017-12-31,50.36394769231339
2018-01-31,50.24362020716725
2018-02-28,50.36550295131712
2018-03-31,50.449748647354596
2018-04-30,50.59002973386776
2018-05-31,50.38345180582051
2018-06-30,50.26304874552767
2018-07-31,50.02872081603727
2018-08-31,49.646158668470584
2018-09-30,49.319700783340174
2018-10-31,48.998850725089696
2018-11-30,47.98710942130668
2018-12-31,47.962108817443
2019-01-31,47.66817953201901
2019-02-28,47.7375447756612
2019-03-31,47.93781943064721
2019-04-30,48.21633529738649
2019-05-31,48.25699230911755
2019-06-30,49.00514559314048
2019-07-31,49.10739715551173
2019-08-31,49.38320724385477
2019-09-30,49.84543503595788
2019-10-31,50.36126189788316
2019-11-30,50.10933470894009
2019-12-31,49.64962949276906
2020-01-31,50.29940198628679
2020-02-29,49.37592423731605
2020-03-31,49.17134338972412
2020-04-30,49.72809464178695
2020-05-31,49.626409331724105
2020-06-30,49.72249001433808
2020-07-31,50.29827733766169
2020-08-31,49.838907867956706
2020-09-30,49.92157282754112
2020-10-31,49.651828714026756
2020-11-30,49.61922337887615
2020-12-31,49.33604726837306
2021-01-31,48.9328378438439
