N_label,AvgTone
2.0,57.69439707922263
21.0,44.52191527803185
0.0,28.66581733230872
3.0,63.3886273317682
4.0,50.28575865714689
5.0,34.05800881191772
22.0,45.70017883915934
6.0,63.15624665328769
1.0,44.061982256068596
7.0,43.72128230897555
23.0,57.53602356420766
8.0,45.58392522675227
9.0,39.891243392654154
24.0,50.54338413415371
25.0,62.20582624326863
10.0,44.93659324547107
11.0,41.04841412236303
12.0,42.73787233741067
13.0,47.76128730411577
15.0,67.71646686278253
14.0,55.87625248228576
16.0,52.302726211884874
17.0,53.25517220872963
18.0,47.800729307879195
19.0,54.84973136830343
20.0,47.80498374443685
