Date,AvgTone
2015-01-31,53.023834009984576
2015-02-28,52.88061234006504
2015-03-31,51.10392547658998
2015-04-30,50.75533136553673
2015-05-31,49.67329602705905
2015-06-30,49.220775947255994
2015-07-31,48.95530324046078
2015-08-31,48.77308429634674
2015-09-30,48.74119252120002
2015-10-31,48.740075900902376
2015-11-30,48.20516157519856
2015-12-31,48.201878437217125
2016-01-31,48.0851099875417
2016-02-29,47.85274569684805
2016-03-31,48.32662869827081
2016-04-30,48.49371240244799
2016-05-31,48.26642867773949
2016-06-30,47.90547314002627
2016-07-31,47.65383501149683
2016-08-31,47.93457364918652
2016-09-30,47.362431794979756
2016-10-31,47.40238209453812
2016-11-30,47.479366355554305
2016-12-31,47.65868608304138
2017-01-31,47.3847137798666
2017-02-28,47.38386182817254
2017-03-31,47.83647753058023
2017-04-30,48.231414226201316
2017-05-31,47.90768052638497
2017-06-30,48.16291718148596
2017-07-31,47.74413917400477
2017-08-31,47.46328019371461
2017-09-30,47.294100182608055
2017-10-31,47.52621907010344
2017-11-30,47.43705934972044
2017-12-31,47.82720905148657
2018-01-31,48.24855488394001
2018-02-28,47.993870619922994
2018-03-31,48.26415419568365
2018-04-30,48.46974443389912
2018-05-31,48.27058117357909
2018-06-30,48.50105414181236
2018-07-31,48.46464979145899
2018-08-31,48.25591845910242
2018-09-30,47.225661328482495
2018-10-31,47.52011836581498
2018-11-30,46.82182250218827
2018-12-31,46.786054228053196
2019-01-31,47.21354609858611
2019-02-28,47.35859944417238
2019-03-31,46.31762687710673
2019-04-30,46.81368086495941
2019-05-31,47.35218679034088
2019-06-30,47.60016167801776
2019-07-31,47.73709992388921
2019-08-31,47.67594581499646
2019-09-30,47.836855016736486
2019-10-31,48.03504164304973
2019-11-30,47.501628370869504
2019-12-31,47.55274964806943
2020-01-31,47.96231929908924
2020-02-29,47.328996667502345
2020-03-31,47.788499881392205
2020-04-30,48.25623884453791
2020-05-31,48.33775743093078
2020-06-30,48.64457826297399
2020-07-31,48.954410677681906
2020-08-31,48.97161336820408
2020-09-30,48.95727044220693
2020-10-31,48.758793283732224
2020-11-30,48.328344056413755
2020-12-31,48.77067824329879
2021-01-31,48.823502452020946
