Date,AvgTone
2015-01-31,54.042236957846406
2015-02-28,51.533439563327434
2015-03-31,50.71855902235849
2015-04-30,50.48312095987134
2015-05-31,50.13943253469538
2015-06-30,49.45998840513704
2015-07-31,49.77052623218029
2015-08-31,49.688264418212476
2015-09-30,49.35189491518475
2015-10-31,49.087137021257966
2015-11-30,48.9245551644684
2015-12-31,48.88628067179661
2016-01-31,48.4750371565455
2016-02-29,48.479789335571226
2016-03-31,48.57643538990987
2016-04-30,48.69682537711571
2016-05-31,48.741671350792465
2016-06-30,48.430608940675405
2016-07-31,48.40724586207487
2016-08-31,48.39043822949843
2016-09-30,48.22433585513884
2016-10-31,48.04736890831582
2016-11-30,47.94398560618543
2016-12-31,47.9655996062777
2017-01-31,48.0666404348772
2017-02-28,48.200794588945044
2017-03-31,48.492044419423856
2017-04-30,48.56403820559725
2017-05-31,48.62291230692876
2017-06-30,48.78549839440556
2017-07-31,48.843337244332844
2017-08-31,48.64046155981648
2017-09-30,48.84137373567896
2017-10-31,48.821704803591125
2017-11-30,48.8394759861046
2017-12-31,48.938642403314574
2018-01-31,48.82329987946161
2018-02-28,48.76017139895762
2018-03-31,48.78721554782801
2018-04-30,48.77785261954933
2018-05-31,48.63001694304629
2018-06-30,48.51592897206
2018-07-31,48.37285542935726
2018-08-31,48.451453710729474
2018-09-30,48.34944264987652
2018-10-31,48.2773267506045
2018-11-30,47.46283399581623
2018-12-31,47.20311276205446
2019-01-31,47.15147128751895
2019-02-28,47.1762334512848
2019-03-31,46.99699727961481
2019-04-30,47.08617602407446
2019-05-31,47.252076829670905
2019-06-30,47.45590395435472
2019-07-31,47.69701335565125
2019-08-31,47.91606637508558
2019-09-30,48.21309153472903
2019-10-31,48.05998041894375
2019-11-30,47.53226600342845
2019-12-31,47.66239490656605
2020-01-31,47.894810554964394
2020-02-29,47.70520309333666
2020-03-31,47.57161353545031
2020-04-30,47.17415270174869
2020-05-31,47.380388500205086
2020-06-30,47.60290831806673
2020-07-31,47.7036119865706
2020-08-31,47.49659370710428
2020-09-30,47.47792967412578
2020-10-31,47.565838907830965
2020-11-30,47.52380141898589
2020-12-31,47.575076832757006
2021-01-31,46.65458837240455
