Date,AvgTone
2015-01-31,54.852355384753494
2015-02-28,54.07886868300359
2015-03-31,52.70884311473966
2015-04-30,52.41334237113524
2015-05-31,51.70234166921376
2015-06-30,50.759670012605575
2015-07-31,50.934682378828974
2015-08-31,50.84637419240912
2015-09-30,50.60867106024084
2015-10-31,50.51443201163604
2015-11-30,50.31432107383188
2015-12-31,50.161536553035155
2016-01-31,50.08362218987935
2016-02-29,49.96956067994625
2016-03-31,50.32358659125001
2016-04-30,50.42503443633315
2016-05-31,50.215644487671696
2016-06-30,49.736108406605084
2016-07-31,49.390072217011905
2016-08-31,49.24098865721692
2016-09-30,48.83820794774963
2016-10-31,48.75899492426308
2016-11-30,48.731702984010845
2016-12-31,48.93524709728241
2017-01-31,48.701806940647536
2017-02-28,48.956190957629104
2017-03-31,49.33354762216401
2017-04-30,49.63364523760312
2017-05-31,49.76354836445048
2017-06-30,49.942866814790044
2017-07-31,49.88154784614741
2017-08-31,49.249945635987025
2017-09-30,49.43335877193309
2017-10-31,49.751959319887405
2017-11-30,49.667690312078406
2017-12-31,50.138562058829784
2018-01-31,50.046713700669855
2018-02-28,50.19336298649892
2018-03-31,50.18428414117859
2018-04-30,50.55287883714013
2018-05-31,50.28417160032926
2018-06-30,50.24206666408938
2018-07-31,50.076211331616655
2018-08-31,50.05722735056583
2018-09-30,50.34048147009255
2018-10-31,50.34104597362353
2018-11-30,49.23072546530068
2018-12-31,49.12030510213117
2019-01-31,49.31467023502358
2019-02-28,49.507169612326685
2019-03-31,49.36584326850289
2019-04-30,49.3408062203207
2019-05-31,49.50248889796702
2019-06-30,49.9904704846948
2019-07-31,49.94775702907734
2019-08-31,50.01039691345742
2019-09-30,49.826395500909754
2019-10-31,49.91542489565718
2019-11-30,50.13083532647662
2019-12-31,50.24962739328629
2020-01-31,50.332575753647895
2020-02-29,50.06601946604387
2020-03-31,50.155959140461135
2020-04-30,50.79599652804643
2020-05-31,50.598638162991676
2020-06-30,49.91172991844922
2020-07-31,49.57258680674274
2020-08-31,49.32114220816052
2020-09-30,49.38780449163724
2020-10-31,49.32162381857984
2020-11-30,49.0814438973306
2020-12-31,49.179779674169026
2021-01-31,48.85709859484824
