dt,close
12/10/20,145
12/11/20,139
12/14/20,130
12/15/20,125
12/16/20,138
12/17/20,147
12/18/20,157
12/21/20,163
12/22/20,163
12/23/20,158
12/24/20,155
12/28/20,149
12/29/20,150
12/30/20,148
12/31/20,147
1/4/21,139
1/5/21,148
1/6/21,143
1/7/21,151
1/8/21,150
1/11/21,148
1/12/21,161
1/13/21,170
1/14/21,181
1/15/21,169
1/19/21,174
1/20/21,162
1/21/21,180
1/22/21,182
