Date,AvgTone
2015-01-31,55.41331600971485
2015-02-28,55.14432453835414
2015-03-31,53.776812161073785
2015-04-30,53.64573832336066
2015-05-31,53.979563617321624
2015-06-30,54.00487045129906
2015-07-31,53.969346120624884
2015-08-31,53.80500778601153
2015-09-30,53.123895859230956
2015-10-31,53.11722108874289
2015-11-30,52.79682403327343
2015-12-31,52.85347218150894
2016-01-31,52.533350956300566
2016-02-29,52.93865776686096
2016-03-31,52.607711540991296
2016-04-30,52.806350733731016
2016-05-31,53.24103534146853
2016-06-30,53.0948842861316
2016-07-31,53.05563886000546
2016-08-31,53.132390381709335
2016-09-30,53.079048818866426
2016-10-31,53.42212563856781
2016-11-30,53.42501386320357
2016-12-31,53.48700264185646
2017-01-31,53.83108577575902
2017-02-28,54.01390194711728
2017-03-31,53.9704101409808
2017-04-30,53.81418681802356
2017-05-31,53.84414893758171
2017-06-30,53.74643638989924
2017-07-31,53.733104164271516
2017-08-31,53.66890307337197
2017-09-30,53.80491940240753
2017-10-31,53.675231931335894
2017-11-30,54.17946073575366
2017-12-31,53.96472860327206
2018-01-31,54.18868370053868
2018-02-28,54.116222086971646
2018-03-31,54.210973771973705
2018-04-30,53.96614971221296
2018-05-31,54.03697298011875
2018-06-30,54.20848592561096
2018-07-31,53.84890492761139
2018-08-31,54.118720777087255
2018-09-30,54.56065507302504
2018-10-31,54.31196204374701
2018-11-30,54.007652117248426
2018-12-31,54.11355924152668
2019-01-31,54.37750752553893
2019-02-28,54.54729437897702
2019-03-31,54.46741255015373
2019-04-30,54.73214067926358
2019-05-31,54.67984835032333
2019-06-30,54.6796690817549
2019-07-31,54.580381045397004
2019-08-31,54.68737053374786
2019-09-30,54.7103514646379
2019-10-31,54.89753330784942
2019-11-30,54.24254365484498
2019-12-31,54.10189030378777
2020-01-31,54.15759364323348
2020-02-29,53.99602615194176
2020-03-31,54.11945128654644
2020-04-30,53.800511692814695
2020-05-31,54.185137552620795
2020-06-30,53.9680452615266
2020-07-31,54.04881425396684
2020-08-31,54.492131786632946
2020-09-30,55.33982481195815
2020-10-31,54.83075108620409
2020-11-30,54.911095740626756
2020-12-31,55.07046890959485
2021-01-31,55.056138289204256
